City,Rank,Sales,Lat,Long
New York,1,431000,40.712776,-74.005974
Los Angeles,2,647100,34.052235,-118.243683
Chicago,3,222200,41.878113,-87.629799
Dallas-Fort Worth,4,233200,32.776665,-96.796989
Philadelphia,5,229300,39.952583,-75.165222
Houston,6,200900,29.760427,-95.369804
Washington,7,401000,38.907192,-77.036873
Miami,8,278400,25.761681,-80.191788
Atlanta,9,209700,33.748997,-84.387985
Boston,10,458000,42.360081,-71.058884
San Francisco,11,961200,37.774929,-122.419418
Detroit,12,157200,42.331429,-83.045753
Riverside,13,362000,33.980602,-117.375496
Phoenix,14,258300,33.448376,-112.074036
Seattle,15,486600,47.606209,-122.332069
Minneapolis,16,263300,44.977753,-93.265015
San Diego,17,589200,32.715736,-117.161087
St. Louis,18,163100,38.627003,-90.199402
Tampa,19,208400,27.950575,-82.457176
Baltimore,20,265600,39.290386,-76.61219
Denver,21,398400,39.739235,-104.99025
Pittsburgh,22,142300,40.440624,-79.995888
Portland,23,391400,45.51223,-122.658722
Charlotte,24,199400,35.227085,-80.843124
Sacramento,25,400600,38.581573,-121.4944
