Date,USA
1998-01,106700
1998-02,107200
1998-03,107700
1998-04,108200
1998-05,108800
1998-06,109400
1998-07,109900
1998-08,110600
1998-09,111200
1998-10,111800
1998-11,112300
1998-12,112900
1999-01,113400
1999-02,113800
1999-03,114300
1999-04,114900
1999-05,115400
1999-06,116100
1999-07,116800
1999-08,117500
1999-09,118300
1999-10,119000
1999-11,119800
1999-12,120600
2000-01,121400
2000-02,122300
2000-03,123000
2000-04,123600
2000-05,124200
2000-06,124800
2000-07,125300
2000-08,125800
2000-09,126200
2000-10,126700
2000-11,127200
2000-12,127900
2001-01,128600
2001-02,129300
2001-03,129900
2001-04,130600
2001-05,131200
2001-06,131700
2001-07,132300
2001-08,132800
2001-09,133300
2001-10,133900
2001-11,134600
2001-12,135300
2002-01,136000
2002-02,136700
2002-03,137500
2002-04,138100
2002-05,138800
2002-06,139500
2002-07,140100
2002-08,140800
2002-09,141500
2002-10,142300
2002-11,143200
2002-12,144000
2003-01,144800
2003-02,145500
2003-03,146300
2003-04,147100
2003-05,147900
2003-06,148800
2003-07,149700
2003-08,150600
2003-09,151600
2003-10,152600
2003-11,153800
2003-12,154900
2004-01,156100
2004-02,157400
2004-03,158800
2004-04,160100
2004-05,161600
2004-06,163100
2004-07,164700
2004-08,166400
2004-09,167900
2004-10,169300
2004-11,170700
2004-12,172000
2005-01,173200
2005-02,174400
2005-03,175700
2005-04,177100
2005-05,178700
2005-06,180300
2005-07,182000
2005-08,183700
2005-09,185300
2005-10,186800
2005-11,188200
2005-12,189600
2006-01,190900
2006-02,192100
2006-03,193300
2006-04,194500
2006-05,195500
2006-06,196600
2006-07,197500
2006-08,198200
2006-09,198700
2006-10,199100
2006-11,199300
2006-12,199500
2007-01,199700
2007-02,199900
2007-03,200100
2007-04,200400
2007-05,200500
2007-06,200000
2007-07,199200
2007-08,198400
2007-09,197600
2007-10,196700
2007-11,195700
2007-12,194500
2008-01,193300
2008-02,191900
2008-03,190400
2008-04,188800
2008-05,187000
2008-06,185100
2008-07,183400
2008-08,181700
2008-09,180000
2008-10,178500
2008-11,177000
2008-12,175500
2009-01,174300
2009-02,173000
2009-03,171600
2009-04,170100
2009-05,168500
2009-06,166800
2009-07,165700
2009-08,164800
2009-09,164000
2009-10,163400
2009-11,163100
2009-12,162900
2010-01,163000
2010-02,163300
2010-03,162800
2010-04,161800
2010-05,161400
2010-06,161400
2010-07,160900
2010-08,160100
2010-09,159200
2010-10,158300
2010-11,157600
2010-12,156600
2011-01,155200
2011-02,154200
2011-03,153400
2011-04,152700
2011-05,152100
2011-06,151500
2011-07,150800
2011-08,150300
2011-09,149800
2011-10,149500
2011-11,149400
2011-12,149100
2012-01,148800
2012-02,148600
2012-03,148800
2012-04,149100
2012-05,149400
2012-06,149800
2012-07,150200
2012-08,150700
2012-09,151400
2012-10,151900
2012-11,152400
2012-12,153000
2013-01,153700
2013-02,154200
2013-03,155000
2013-04,156100
2013-05,157000
2013-06,158100
2013-07,159300
2013-08,160300
2013-09,161300
2013-10,162200
2013-11,162900
2013-12,163600
2014-01,164400
2014-02,165100
2014-03,165700
2014-04,166500
2014-05,167200
2014-06,167800
2014-07,168600
2014-08,169400
2014-09,170000
2014-10,170700
2014-11,171300
2014-12,171800
2015-01,172500
2015-02,173200
2015-03,173800
2015-04,174500
2015-05,175300
2015-06,176100
2015-07,177100
2015-08,177800
2015-09,178700
2015-10,179700
2015-11,180600
2015-12,181400
2016-01,182200
2016-02,183000
2016-03,183900
2016-04,184800
2016-05,185800
2016-06,186900
2016-07,188000
2016-08,189200
2016-09,190400
2016-10,191600
2016-11,192800
2016-12,193900
2017-01,195100
2017-02,196100
2017-03,197100
2017-04,198500
2017-05,199800
2017-06,200800
2017-07,201800
2017-08,203300
2017-09,204700
2017-10,205900
2017-11,207200
2017-12,208500
2018-01,210000
2018-02,211900
2018-03,213500
2018-04,214700
2018-05,216000
2018-06,217200
2018-07,218000
